Episode	Accumulated Reward	Average Reward	Length	Steps
0	-4895.647575826604	-39.165180606612836	125	125
1	-4401.3119492497035	-35.21049559399765	125	250
2	-2909.118791375824	-23.272950331006577	125	375
3	-1355.8374521458716	-10.846699617166973	125	500
4	-1392.1376132555315	-11.13710090604426	125	625
5	-2377.229711438541	-19.017837691508326	125	750
6	-1605.205601135333	-12.841644809082668	125	875
7	-1142.6024308594363	-9.140819446875495	125	1000
8	-1110.17238007953	-8.881379040636237	125	1125
9	-1415.0153227915457	-11.320122582332363	125	1250
10	-1084.806186007314	-8.678449488058519	125	1375
11	-1204.58673322474	-9.636693865797913	125	1500
12	-1582.8902992149344	-12.66312239371947	125	1625
13	-1234.3968104401945	-9.875174483521556	125	1750
14	-2290.3685781570866	-18.322948625256696	125	1875
15	-1317.928485283048	-10.543427882264387	125	2000
